nom_piezo,lag_tested,optimal_lag,p_value
Aube_Rouge___810,1,11,0.041116255403749406
Aube_Rouge___810,2,11,0.22958978994077764
Aube_Rouge___810,3,11,0.27495672533867305
Aube_Rouge___810,4,11,0.522508948198816
Aube_Rouge___810,5,11,0.7129367152198118
Aube_Rouge___810,6,11,0.8134787817006501
Aube_Rouge___810,7,11,0.1663555727886768
Aube_Rouge___810,8,11,0.060335566470493894
Aube_Rouge___810,9,11,0.03913390465465223
Aube_Rouge___810,10,11,0.01875080582737202
Aube_Rouge___810,11,11,0.030254343937658506
CENT_FONTS___CAUSSE_DE_LA_SELLE,1,1,2.5284265302206107e-06
