piezometre,type_averse,correlation,p_value
Aube Rouge - 810,légère/nulle,0.03844030772262829,0.0008400834706981123
Aube Rouge - 810,modérée,-0.051901781291088536,0.256412479257976
Aube Rouge - 810,forte,-0.04722655011108766,0.25904851327672695
Aube Rouge - 810,très forte,-0.019944840937334493,0.6195616422373074
LACAN,légère/nulle,0.01630340617641365,0.2519784110675091
LACAN,modérée,-0.09910968406653689,0.0406542261636787
LACAN,forte,0.0013939353296116362,0.9736501043937389
LACAN,très forte,0.00691459483657377,0.8680245572158491
CENT FONTS - CAUSSE DE LA SELLE,légère/nulle,0.21821918291017103,2.483740491100934e-31
CENT FONTS - CAUSSE DE LA SELLE,modérée,0.04664718851086052,0.4701124663563414
CENT FONTS - CAUSSE DE LA SELLE,forte,-0.04188960839748356,0.43866556085473374
CENT FONTS - CAUSSE DE LA SELLE,très forte,0.23235713410301392,1.5487464384519502e-05
