code_bss,date_mesure,niveau_nappe_eau,profondeur_nappe,nom_piezo,station_name,RR,TX,TN,TM,type_averse,niveau_categorise
09908X0345/AUBE,1981-03-25,28.04,8.03,Aube Rouge - 810,MONTPELLIER-AEROPORT,1.8,18.3,9.8,14.0,légère,moyen
09908X0345/AUBE,1981-04-05,28.65,7.42,Aube Rouge - 810,MONTPELLIER-AEROPORT,0.0,20.0,9.9,14.7,légère/nulle,haut
09908X0345/AUBE,1981-04-15,28.63,7.44,Aube Rouge - 810,MONTPELLIER-AEROPORT,0.0,20.0,12.2,15.6,légère/nulle,haut
09908X0345/AUBE,1981-04-25,28.5,7.57,Aube Rouge - 810,MONTPELLIER-AEROPORT,3.0,16.4,7.8,12.0,légère,haut
09908X0345/AUBE,1981-05-15,28.3,7.77,Aube Rouge - 810,MONTPELLIER-AEROPORT,0.0,17.9,12.5,14.9,légère/nulle,haut
09908X0345/AUBE,1981-05-25,28.21,7.86,Aube Rouge - 810,MONTPELLIER-AEROPORT,5.7,17.7,13.9,16.0,légère,moyen
09908X0345/AUBE,1981-06-05,28.04,8.03,Aube Rouge - 810,MONTPELLIER-AEROPORT,0.0,24.8,11.1,18.5,légère/nulle,moyen
09908X0345/AUBE,1981-06-15,27.78,8.29,Aube Rouge - 810,MONTPELLIER-AEROPORT,0.0,31.4,18.1,25.5,légère/nulle,moyen
09908X0345/AUBE,1981-06-25,27.65,8.42,Aube Rouge - 810,MONTPELLIER-AEROPORT,0.0,22.0,16.1,18.6,légère/nulle,moyen
09908X0345/AUBE,1981-07-05,27.98,8.09,Aube Rouge - 810,MONTPELLIER-AEROPORT,3.0,28.0,15.6,21.9,légère,moyen
09908X0345/AUBE,1981-07-15,27.82,8.25,Aube Rouge - 810,MONTPELLIER-AEROPORT,0.0,31.9,17.8,25.3,légère/nulle,moyen
09908X0345/AUBE,1981-07-25,27.79,8.28,Aube Rouge - 810,MONTPELLIER-AEROPORT,0.0,24.3,14.9,19.5,légère/nulle,moyen
09908X0345/AUBE,1981-08-05,27.66,8.41,Aube Rouge - 810,MONTPELLIER-AEROPORT,0.0,30.0,18.2,24.7,légère/nulle,moyen
09908X0345/AUBE,1981-08-15,27.54,8.53,Aube Rouge - 810,MONTPELLIER-AEROPORT,0.0,27.3,17.1,22.3,légère/nulle,moyen
09908X0345/AUBE,1981-08-25,27.41,8.66,Aube Rouge - 810,MONTPELLIER-AEROPORT,0.0,27.2,15.9,21.5,légère/nulle,moyen
09908X0345/AUBE,1981-09-05,27.25,8.82,Aube Rouge - 810,MONTPELLIER-AEROPORT,0.0,24.9,12.7,19.0,légère/nulle,bas
09908X0345/AUBE,1981-09-15,27.2,8.87,Aube Rouge - 810,MONTPELLIER-AEROPORT,0.0,27.2,13.3,20.2,légère/nulle,bas
09908X0345/AUBE,1981-09-25,27.12,8.95,Aube Rouge - 810,MONTPELLIER-AEROPORT,0.0,22.1,9.7,15.4,légère/nulle,bas
09908X0345/AUBE,1981-10-05,27.37,8.7,Aube Rouge - 810,MONTPELLIER-AEROPORT,0.0,20.8,16.7,19.1,légère/nulle,bas
09908X0345/AUBE,1981-10-15,27.32,8.75,Aube Rouge - 810,MONTPELLIER-AEROPORT,0.0,23.2,11.8,17.2,légère/nulle,bas
09908X0345/AUBE,1981-10-25,27.28,8.79,Aube Rouge - 810,MONTPELLIER-AEROPORT,3.0,16.5,3.4,9.8,légère,bas
09908X0345/AUBE,1981-11-05,27.19,8.88,Aube Rouge - 810,MONTPELLIER-AEROPORT,0.0,15.6,9.8,12.2,légère/nulle,bas
09908X0345/AUBE,1981-11-15,27.16,8.91,Aube Rouge - 810,MONTPELLIER-AEROPORT,0.0,15.5,0.5,8.1,légère/nulle,bas
09908X0345/AUBE,1981-11-25,27.09,8.98,Aube Rouge - 810,MONTPELLIER-AEROPORT,0.0,15.2,4.8,9.9,légère/nulle,bas
09908X0345/AUBE,1981-12-05,27.0,9.07,Aube Rouge - 810,MONTPELLIER-AEROPORT,0.0,12.2,3.9,8.2,légère/nulle,bas
09908X0345/AUBE,1981-12-15,26.99,9.08,Aube Rouge - 810,MONTPELLIER-AEROPORT,0.6,17.0,8.1,11.1,légère,bas
09908X0345/AUBE,1981-12-25,27.33,8.74,Aube Rouge - 810,MONTPELLIER-AEROPORT,0.0,9.3,2.0,5.6,légère/nulle,bas
09908X0345/AUBE,1981-12-31,27.72,8.35,Aube Rouge - 810,MONTPELLIER-AEROPORT,0.0,15.1,7.9,11.0,légère/nulle,moyen
09908X0345/AUBE,1982-01-01,27.69,8.38,Aube Rouge - 810,MONTPELLIER-AEROPORT,0.0,14.1,5.7,9.6,légère/nulle,moyen
09908X0345/AUBE,1982-01-15,27.64,8.43,Aube Rouge - 810,MONTPELLIER-AEROPORT,2.9,12.2,6.9,9.9,légère,moyen
09908X0345/AUBE,1982-01-25,27.69,8.38,Aube Rouge - 810,MONTPELLIER-AEROPORT,0.0,11.1,-1.1,4.7,légère/nulle,moyen
