code_bss,date_mesure,niveau_nappe_eau,profondeur_nappe,nom_piezo,station_name,RR,TX,TN,TM,type_averse,is_rainy,RR_cum3,RR_cum7,RR_cum15,days_with_rain_3,days_with_rain_7,days_with_rain_15,RR_lag1,TX_lag1,TN_lag1,RR_lag2,TX_lag2,TN_lag2,RR_lag3,TX_lag3,TN_lag3,RR_lag4,TX_lag4,TN_lag4,RR_lag5,TX_lag5,TN_lag5,RR_lag6,TX_lag6,TN_lag6,RR_lag7,TX_lag7,TN_lag7
09908X0345/AUBE,1981-04-05,28.65,7.42,Aube Rouge - 810,MONTPELLIER-AEROPORT,0.0,20.0,9.9,14.7,légère/nulle,0,1.8,1.8,1.8,1.0,1.0,1.0,1.8,18.3,9.8,,,,,,,,,,,,,,,,,,
09908X0345/AUBE,1981-04-15,28.63,7.44,Aube Rouge - 810,MONTPELLIER-AEROPORT,0.0,20.0,12.2,15.6,légère/nulle,0,1.8,1.8,1.8,1.0,1.0,1.0,0.0,20.0,9.9,1.8,18.3,9.8,,,,,,,,,,,,,,,
09908X0345/AUBE,1981-05-15,28.3,7.77,Aube Rouge - 810,MONTPELLIER-AEROPORT,0.0,17.9,12.5,14.9,légère/nulle,0,3.0,4.8,4.8,1.0,2.0,2.0,3.0,16.4,7.8,0.0,20.0,12.2,0.0,20.0,9.9,1.8,18.3,9.8,,,,,,,,,
09908X0345/AUBE,1981-06-05,28.04,8.03,Aube Rouge - 810,MONTPELLIER-AEROPORT,0.0,24.8,11.1,18.5,légère/nulle,0,5.7,10.5,10.5,1.0,3.0,3.0,5.7,17.7,13.9,0.0,17.9,12.5,3.0,16.4,7.8,0.0,20.0,12.2,0.0,20.0,9.9,1.8,18.3,9.8,,,
09908X0345/AUBE,1981-06-15,27.78,8.29,Aube Rouge - 810,MONTPELLIER-AEROPORT,0.0,31.4,18.1,25.5,légère/nulle,0,5.7,8.7,10.5,1.0,2.0,3.0,0.0,24.8,11.1,5.7,17.7,13.9,0.0,17.9,12.5,3.0,16.4,7.8,0.0,20.0,12.2,0.0,20.0,9.9,1.8,18.3,9.8
09908X0345/AUBE,1981-06-25,27.65,8.42,Aube Rouge - 810,MONTPELLIER-AEROPORT,0.0,22.0,16.1,18.6,légère/nulle,0,0.0,8.7,10.5,0.0,2.0,3.0,0.0,31.4,18.1,0.0,24.8,11.1,5.7,17.7,13.9,0.0,17.9,12.5,3.0,16.4,7.8,0.0,20.0,12.2,0.0,20.0,9.9
09908X0345/AUBE,1981-07-15,27.82,8.25,Aube Rouge - 810,MONTPELLIER-AEROPORT,0.0,31.9,17.8,25.3,légère/nulle,0,3.0,8.7,13.5,1.0,2.0,4.0,3.0,28.0,15.6,0.0,22.0,16.1,0.0,31.4,18.1,0.0,24.8,11.1,5.7,17.7,13.9,0.0,17.9,12.5,3.0,16.4,7.8
09908X0345/AUBE,1981-07-25,27.79,8.28,Aube Rouge - 810,MONTPELLIER-AEROPORT,0.0,24.3,14.9,19.5,légère/nulle,0,3.0,8.7,13.5,1.0,2.0,4.0,0.0,31.9,17.8,3.0,28.0,15.6,0.0,22.0,16.1,0.0,31.4,18.1,0.0,24.8,11.1,5.7,17.7,13.9,0.0,17.9,12.5
09908X0345/AUBE,1981-08-05,27.66,8.41,Aube Rouge - 810,MONTPELLIER-AEROPORT,0.0,30.0,18.2,24.7,légère/nulle,0,0.0,3.0,13.5,0.0,1.0,4.0,0.0,24.3,14.9,0.0,31.9,17.8,3.0,28.0,15.6,0.0,22.0,16.1,0.0,31.4,18.1,0.0,24.8,11.1,5.7,17.7,13.9
09908X0345/AUBE,1981-08-15,27.54,8.53,Aube Rouge - 810,MONTPELLIER-AEROPORT,0.0,27.3,17.1,22.3,légère/nulle,0,0.0,3.0,13.5,0.0,1.0,4.0,0.0,30.0,18.2,0.0,24.3,14.9,0.0,31.9,17.8,3.0,28.0,15.6,0.0,22.0,16.1,0.0,31.4,18.1,0.0,24.8,11.1
