Id_station,Id_omm,Nom_usuel,Latitude,Longitude,Altitude,Date_ouverture,Pack
1014002,,ARBENT,46.278167,5.669,534,2003-10-01,RADOME
1027003,,BALAN_AERO,45.833,5.106667,196,2014-05-26,ETENDU
1034004,,BELLEY,45.769333,5.688,330,2001-09-13,RADOME
1064001,,VERIZIEU,45.777167,5.487167,281,2015-01-01,ETENDU
1071001,,CESSY,46.310333,6.080333,507,2002-05-01,RADOME
1072001,,CEYZERIAT_SAPC,46.204333,5.287667,260,1994-08-01,ETENDU
1089001,7482.0,AMBERIEU,45.9765,5.329333,250,1934-03-01,RADOME
1143002,,DIVONNE ZA,46.3415,6.139667,467,2003-10-01,ETENDU
1200002,,LA BALME SUR CERDON_SAPC,46.09,5.482,596,2004-12-01,ETENDU
1235001,,MARLIEUX,46.0385,5.044333,280,1956-01-01,ETENDU
1247003,,MIJOUX,46.378833,6.019333,1002,1929-01-01,ETENDU
1269001,,NANTUA,46.148167,5.607333,483,1852-01-01,ETENDU
1367002,,SAINT JULIEN SUR REYSSOUZE,46.403167,5.109833,189,1990-02-01,ETENDU
1384003,,ST RAMBERT CG01,45.950333,5.461,296,2001-12-01,ETENDU
1414001,,SUTRIEU,45.916167,5.624667,878,2002-09-01,RADOME
2037002,,AULNOIS-SS-LAON,49.595667,3.610333,78,1988-10-01,RADOME
2058001,,BEAURIEUX,49.390333,3.732667,56,1949-12-01,ETENDU
2094001,,BLESMES,49.009667,3.462667,222,1985-12-01,RADOME
2110002,,BRAINE,49.351333,3.527,61,1988-08-01,RADOME
2173002,,CHAUNY,49.633833,3.197833,83,1988-07-01,RADOME
2320001,7061.0,ST QUENTIN,49.818333,3.206,98,1933-01-01,RADOME
2321002,,FONTAINE-LES-VV,49.837333,3.877833,186,1987-07-01,RADOME
2346001,,GIZY,49.599833,3.781,75,1945-01-01,ETENDU
2381001,,HIRSON,49.922,4.077167,165,1859-01-01,ETENDU
2471001,,MARTIGNY-COURPI,49.485667,3.693167,95,1955-12-01,ETENDU
2585001,,PARCY-ET-TIGNY,49.280167,3.331,148,1954-08-01,ETENDU
2705001,,NIZY-LE-COMTE,49.566,4.0365,90,1986-07-01,RADOME
2738001,,TERGNIER,49.663833,3.320667,59,1956-10-01,ETENDU
3036002,,BOURBON_SAPC,46.58,3.0495,270,1993-05-01,ETENDU
3059001,,CHAREIL-CINTRAT_SAPC,46.275833,3.225667,286,1950-05-01,ETENDU
3060001,7374.0,VICHY-CHARMEIL,46.166667,3.398667,249,1941-01-01,RADOME
3061001,,CHARMES_SAPC,46.0635,3.233667,330,1995-08-01,ETENDU
3074001,,CHEVAGNES,46.630667,3.549167,228,1946-01-01,ETENDU
3100001,,DIOU,46.541667,3.706667,220,1883-01-01,ETENDU
3106002,,DURDAT-LAREQUILLE,46.251667,2.695667,500,1962-05-01,ETENDU
3108001,,ECHASSIERES_SAPC,46.191167,2.957667,650,1966-11-01,ETENDU
3114001,,FERTE-HAUTERIVE,46.375333,3.330167,226,1957-01-01,ETENDU
