statistique,RR,niveau_nappe_eau,TX,TN,nom_piezo
count,9218.0,9218.0,9218.0,9218.0,Aube Rouge - 810
mean,1.7454545454545454,27.867580820134517,20.50037969190714,10.943794749403342,Aube Rouge - 810
std,8.05805205649298,1.066523945680695,7.003295065003569,6.672676534662361,Aube Rouge - 810
min,0.0,22.87,-0.7,-7.1,Aube Rouge - 810
25%,0.0,27.1,14.9,5.9,Aube Rouge - 810
50%,0.0,27.81,20.0,11.2,Aube Rouge - 810
75%,0.2,28.6,26.3,16.4,Aube Rouge - 810
max,299.5,31.86,38.6,25.7,Aube Rouge - 810
count,6510.0,6510.0,6510.0,6510.0,LACAN
mean,2.354746543778802,134.99787250384023,18.46592933947773,9.25457757296467,LACAN
std,9.381750150067479,8.225192865217373,7.7466364883343415,5.957568747270078,LACAN
min,0.0,85.76,-2.1,-8.7,LACAN
25%,0.0,129.89249999999998,12.3,4.8,LACAN
50%,0.0,134.57,17.9,9.4,LACAN
75%,0.4,139.2,24.5,14.0,LACAN
max,208.1,162.86,40.7,25.1,LACAN
count,3706.0,3706.0,3706.0,3706.0,CENT FONTS - CAUSSE DE LA SELLE
mean,2.81902320561252,78.94672692930384,19.897895304910957,7.2257420399352394,CENT FONTS - CAUSSE DE LA SELLE
std,10.74914865114571,2.5249429061918067,7.875855647594649,7.085463711566984,CENT FONTS - CAUSSE DE LA SELLE
min,0.0,42.63,-2.3,-10.4,CENT FONTS - CAUSSE DE LA SELLE
25%,0.0,77.5,13.5,2.2,CENT FONTS - CAUSSE DE LA SELLE
50%,0.0,78.43,19.1,8.0,CENT FONTS - CAUSSE DE LA SELLE
75%,0.2,80.07,26.2,12.8,CENT FONTS - CAUSSE DE LA SELLE
max,158.2,88.82,41.2,23.6,CENT FONTS - CAUSSE DE LA SELLE
